Steps,FloorsNum,PeopleNum,Brain,Max people on floor,liftNum
1775914,55,885,lift.main.LiftBrain,23,1
22875,157,55,lift.main.LiftBrain,3,1
72348,79,135,lift.main.LiftBrain,6,1
4714934,79,1185,lift.main.LiftBrain,22,1
3087388,45,1275,lift.main.LiftBrain,48,1
4218755,135,885,lift.main.LiftBrain,14,1
1886888,163,525,lift.main.LiftBrain,10,1
10564433,153,1275,lift.main.LiftBrain,17,1
6055054,151,975,lift.main.LiftBrain,14,1
6369265,123,1075,lift.main.LiftBrain,19,1
4700479,125,935,lift.main.LiftBrain,17,1
449930,15,815,lift.main.LiftBrain,65,1
1632515,85,645,lift.main.LiftBrain,14,1
2485829,69,925,lift.main.LiftBrain,21,1
1377911,167,445,lift.main.LiftBrain,7,1
608386,79,435,lift.main.LiftBrain,12,1
10688673,163,1265,lift.main.LiftBrain,18,1
2061578,113,645,lift.main.LiftBrain,12,1
1341266,41,875,lift.main.LiftBrain,33,1
3008422,73,985,lift.main.LiftBrain,21,1
827349,143,375,lift.main.LiftBrain,7,1
396259,69,355,lift.main.LiftBrain,12,1
1637715,41,945,lift.main.LiftBrain,33,1
2109068,33,1225,lift.main.LiftBrain,52,1
765,15,35,lift.main.LiftBrain,6,1
84623,99,145,lift.main.LiftBrain,5,1
6786904,125,1125,lift.main.LiftBrain,17,1
7401183,163,1015,lift.main.LiftBrain,14,1
303737,63,335,lift.main.LiftBrain,12,1
337735,157,215,lift.main.LiftBrain,5,1
7986795,167,1075,lift.main.LiftBrain,15,1
1450799,103,545,lift.main.LiftBrain,12,1
8944,107,35,lift.main.LiftBrain,2,1
6686517,145,1045,lift.main.LiftBrain,14,1
84442,19,335,lift.main.LiftBrain,29,1
85339,7,545,lift.main.LiftBrain,89,1
2121569,83,765,lift.main.LiftBrain,19,1
1782639,55,845,lift.main.LiftBrain,24,1
1584482,25,1225,lift.main.LiftBrain,66,1
9595665,133,1305,lift.main.LiftBrain,20,1
476113,157,255,lift.main.LiftBrain,7,1
79908,155,105,lift.main.LiftBrain,4,1
8642639,167,1095,lift.main.LiftBrain,15,1
1073437,31,895,lift.main.LiftBrain,40,1
3951506,81,1055,lift.main.LiftBrain,19,1
1501639,165,465,lift.main.LiftBrain,9,1
81327,105,125,lift.main.LiftBrain,4,1
47813,133,95,lift.main.LiftBrain,4,1
3056709,65,1045,lift.main.LiftBrain,25,1
115402,151,135,lift.main.LiftBrain,5,1
4416146,83,1095,lift.main.LiftBrain,21,1
1273929,39,865,lift.main.LiftBrain,34,1
2473063,45,1145,lift.main.LiftBrain,37,1
2372852,135,655,lift.main.LiftBrain,10,1
51764,15,275,lift.main.LiftBrain,24,1
4811634,167,835,lift.main.LiftBrain,11,1
3932919,55,1295,lift.main.LiftBrain,33,1
577998,109,345,lift.main.LiftBrain,8,1
247353,79,265,lift.main.LiftBrain,9,1
10329199,157,1225,lift.main.LiftBrain,17,1
56445,27,215,lift.main.LiftBrain,17,1
6037932,95,1235,lift.main.LiftBrain,21,1
10744946,167,1245,lift.main.LiftBrain,16,1
3109,45,35,lift.main.LiftBrain,3,1
326175,89,285,lift.main.LiftBrain,10,1
1051588,67,615,lift.main.LiftBrain,17,1
1040722,135,415,lift.main.LiftBrain,8,1
684947,35,685,lift.main.LiftBrain,40,1
2605360,95,795,lift.main.LiftBrain,15,1
1960262,107,655,lift.main.LiftBrain,15,1
4427366,107,995,lift.main.LiftBrain,17,1
1346448,43,845,lift.main.LiftBrain,27,1
161793,49,285,lift.main.LiftBrain,13,1
107228,127,145,lift.main.LiftBrain,4,1
203415,75,255,lift.main.LiftBrain,8,1
2628994,47,1155,lift.main.LiftBrain,36,1
75480,13,365,lift.main.LiftBrain,38,1
724136,37,705,lift.main.LiftBrain,29,1
152660,153,155,lift.main.LiftBrain,5,1
1379993,31,1015,lift.main.LiftBrain,45,1
870370,119,405,lift.main.LiftBrain,10,1
886373,29,835,lift.main.LiftBrain,45,1
7558150,127,1155,lift.main.LiftBrain,18,1
1097464,121,475,lift.main.LiftBrain,9,1
277273,45,365,lift.main.LiftBrain,14,1
7811060,157,1075,lift.main.LiftBrain,18,1
1182884,23,1095,lift.main.LiftBrain,64,1
4556881,119,935,lift.main.LiftBrain,15,1
3238054,73,1025,lift.main.LiftBrain,22,1
4085549,139,815,lift.main.LiftBrain,12,1
689865,43,615,lift.main.LiftBrain,24,1
2650154,149,645,lift.main.LiftBrain,10,1
711889,83,445,lift.main.LiftBrain,11,1
546676,165,275,lift.main.LiftBrain,5,1
368519,31,545,lift.main.LiftBrain,28,1
3678737,95,965,lift.main.LiftBrain,17,1
505717,145,285,lift.main.LiftBrain,5,1
338222,43,445,lift.main.LiftBrain,17,1
1314447,39,875,lift.main.LiftBrain,31,1
2357,5,105,lift.main.LiftBrain,26,1
2727011,141,675,lift.main.LiftBrain,10,1
5564422,153,905,lift.main.LiftBrain,14,1
265093,23,535,lift.main.LiftBrain,32,1
3233716,43,1305,lift.main.LiftBrain,46,1
6856619,97,1305,lift.main.LiftBrain,23,1
65139,161,95,lift.main.LiftBrain,4,1
233837,11,705,lift.main.LiftBrain,72,1
954574,59,605,lift.main.LiftBrain,19,1
536971,15,925,lift.main.LiftBrain,75,1
7129,71,45,lift.main.LiftBrain,3,1
963984,141,395,lift.main.LiftBrain,10,1
5227943,121,1015,lift.main.LiftBrain,19,1
3934,59,35,lift.main.LiftBrain,3,1
570329,145,305,lift.main.LiftBrain,6,1
67310,73,155,lift.main.LiftBrain,6,1
158652,155,145,lift.main.LiftBrain,3,1
19679,17,155,lift.main.LiftBrain,15,1
1930173,41,1055,lift.main.LiftBrain,37,1
8491338,141,1175,lift.main.LiftBrain,16,1
45036,43,145,lift.main.LiftBrain,8,1
11332,117,45,lift.main.LiftBrain,2,1
1117379,97,525,lift.main.LiftBrain,11,1
42622,27,195,lift.main.LiftBrain,13,1
4257785,113,935,lift.main.LiftBrain,16,1
6058886,139,1015,lift.main.LiftBrain,14,1
3144761,141,715,lift.main.LiftBrain,10,1
114581,155,125,lift.main.LiftBrain,4,1
871799,45,665,lift.main.LiftBrain,23,1
683220,41,645,lift.main.LiftBrain,28,1
739007,23,885,lift.main.LiftBrain,48,1
4566781,85,1125,lift.main.LiftBrain,27,1
110929,65,195,lift.main.LiftBrain,10,1
353556,21,605,lift.main.LiftBrain,37,1
1914331,31,1195,lift.main.LiftBrain,65,1
1180146,25,1065,lift.main.LiftBrain,53,1
214918,63,285,lift.main.LiftBrain,10,1
5833203,109,1125,lift.main.LiftBrain,20,1
204279,7,845,lift.main.LiftBrain,135,1
100408,7,575,lift.main.LiftBrain,93,1
7219272,123,1175,lift.main.LiftBrain,21,1
1275720,19,1255,lift.main.LiftBrain,78,1
3253340,59,1145,lift.main.LiftBrain,30,1
2522302,151,595,lift.main.LiftBrain,11,1
3045047,127,735,lift.main.LiftBrain,12,1
3653421,121,845,lift.main.LiftBrain,17,1
479,29,15,lift.main.LiftBrain,3,1
1775195,47,955,lift.main.LiftBrain,32,1
185033,43,325,lift.main.LiftBrain,15,1
8997001,131,1265,lift.main.LiftBrain,21,1
3403669,93,935,lift.main.LiftBrain,21,1
2300944,81,815,lift.main.LiftBrain,18,1
337180,157,225,lift.main.LiftBrain,6,1
2078789,89,705,lift.main.LiftBrain,18,1
12236131,163,1305,lift.main.LiftBrain,16,1
4029355,159,765,lift.main.LiftBrain,10,1
1530772,43,915,lift.main.LiftBrain,34,1
254929,61,315,lift.main.LiftBrain,10,1
1965217,113,645,lift.main.LiftBrain,14,1
242162,35,415,lift.main.LiftBrain,20,1
2373123,45,1115,lift.main.LiftBrain,38,1
4433532,129,885,lift.main.LiftBrain,13,1
112986,103,155,lift.main.LiftBrain,5,1
23744,143,55,lift.main.LiftBrain,2,1
3682162,97,985,lift.main.LiftBrain,17,1
726333,53,565,lift.main.LiftBrain,19,1
7167435,111,1235,lift.main.LiftBrain,19,1
290836,19,605,lift.main.LiftBrain,48,1
531603,35,605,lift.main.LiftBrain,31,1
752054,67,505,lift.main.LiftBrain,13,1
1261,11,45,lift.main.LiftBrain,8,1
22886,161,55,lift.main.LiftBrain,3,1
913056,51,635,lift.main.LiftBrain,22,1
329490,35,465,lift.main.LiftBrain,25,1
997860,69,575,lift.main.LiftBrain,15,1
778621,33,745,lift.main.LiftBrain,36,1
871663,41,705,lift.main.LiftBrain,28,1
1221,39,25,lift.main.LiftBrain,3,1
1681789,41,995,lift.main.LiftBrain,37,1
3596003,95,915,lift.main.LiftBrain,19,1
2380780,43,1155,lift.main.LiftBrain,42,1
5878018,153,935,lift.main.LiftBrain,14,1
7357279,135,1115,lift.main.LiftBrain,15,1
7389,73,45,lift.main.LiftBrain,3,1
1495244,63,745,lift.main.LiftBrain,22,1
1112990,127,445,lift.main.LiftBrain,8,1
4081215,91,1025,lift.main.LiftBrain,19,1
2161383,55,945,lift.main.LiftBrain,28,1
297019,141,215,lift.main.LiftBrain,5,1
2895533,67,1005,lift.main.LiftBrain,24,1
615271,9,1275,lift.main.LiftBrain,156,1
1102871,133,435,lift.main.LiftBrain,8,1
19676,37,105,lift.main.LiftBrain,7,1
2749863,159,645,lift.main.LiftBrain,10,1
4434169,135,885,lift.main.LiftBrain,15,1
5205467,127,995,lift.main.LiftBrain,15,1
362984,123,255,lift.main.LiftBrain,8,1
3022649,105,815,lift.main.LiftBrain,17,1
3492310,167,715,lift.main.LiftBrain,12,1
2152291,159,575,lift.main.LiftBrain,9,1
2303196,141,625,lift.main.LiftBrain,10,1
3709594,107,915,lift.main.LiftBrain,15,1
2086,25,35,lift.main.LiftBrain,4,1
1652796,39,1005,lift.main.LiftBrain,35,1
2375256,99,725,lift.main.LiftBrain,15,1
501011,91,365,lift.main.LiftBrain,8,1
1600945,115,575,lift.main.LiftBrain,12,1
